"nom.size","an","N","T","omega"
0.032,0.2,100,10,-11.1219067611158
0.036,0.3,100,10,-11.1219067611158
0.044,0.4,100,10,-11.1219067611158
0.06,0.01,500,2,-7.52034284870614
0.062,0.05,500,2,-7.52034284870614
0.04,0.1,500,2,-7.52034284870614
0.04,0.2,500,2,-7.52034284870614
0.046,0.3,500,2,-7.52034284870614
0.036,0.4,500,2,-7.52034284870614
0.056,0.01,500,2,-6.61941216140538
0.042,0.05,500,2,-6.61941216140538
0.044,0.1,500,2,-6.61941216140538
0.046,0.2,500,2,-6.61941216140538
0.028,0.3,500,2,-6.61941216140538
0.042,0.4,500,2,-6.61941216140538
0.074,0.01,500,2,-7.37900605698019
0.044,0.05,500,2,-7.37900605698019
0.032,0.1,500,2,-7.37900605698019
0.036,0.2,500,2,-7.37900605698019
0.05,0.3,500,2,-7.37900605698019
0.024,0.4,500,2,-7.37900605698019
0.054,0.01,500,2,-6.47822011386786
0.028,0.05,500,2,-6.47822011386786
0.038,0.1,500,2,-6.47822011386786
0.044,0.2,500,2,-6.47822011386786
0.036,0.3,500,2,-6.47822011386786
0.044,0.4,500,2,-6.47822011386786
0.06,0.01,500,2,-8.8355906761459
0.038,0.05,500,2,-8.8355906761459
0.05,0.1,500,2,-8.8355906761459
0.054,0.2,500,2,-8.8355906761459
0.038,0.3,500,2,-8.8355906761459
0.036,0.4,500,2,-8.8355906761459
0.044,0.01,500,2,-7.69457671655681
0.046,0.05,500,2,-7.69457671655681
0.064,0.1,500,2,-7.69457671655681
0.03,0.2,500,2,-7.69457671655681
0.044,0.3,500,2,-7.69457671655681
0.036,0.4,500,2,-7.69457671655681
0.066,0.01,500,2,-8.69855670836281
0.034,0.05,500,2,-8.69855670836281
0.04,0.1,500,2,-8.69855670836281
0.044,0.2,500,2,-8.69855670836281
0.038,0.3,500,2,-8.69855670836281
0.024,0.4,500,2,-8.69855670836281
0.052,0.01,500,2,-7.5584287942071
0.066,0.05,500,2,-7.5584287942071
0.036,0.1,500,2,-7.5584287942071
0.034,0.2,500,2,-7.5584287942071
0.038,0.3,500,2,-7.5584287942071
0.042,0.4,500,2,-7.5584287942071
0.062,0.01,500,2,-10.1508385035857
0.07,0.05,500,2,-10.1508385035857
0.026,0.1,500,2,-10.1508385035857
0.048,0.2,500,2,-10.1508385035857
0.038,0.3,500,2,-10.1508385035857
0.03,0.4,500,2,-10.1508385035857
0.054,0.01,500,2,-8.76974127170824
0.056,0.05,500,2,-8.76974127170824
0.062,0.1,500,2,-8.76974127170824
0.044,0.2,500,2,-8.76974127170824
0.044,0.3,500,2,-8.76974127170824
0.024,0.4,500,2,-8.76974127170824
0.082,0.01,500,2,-10.0181073597454
0.05,0.05,500,2,-10.0181073597454
0.044,0.1,500,2,-10.0181073597454
0.044,0.2,500,2,-10.0181073597454
0.024,0.3,500,2,-10.0181073597454
0.034,0.4,500,2,-10.0181073597454
0.068,0.01,500,2,-8.63863747454634
0.036,0.05,500,2,-8.63863747454634
0.048,0.1,500,2,-8.63863747454634
0.068,0.2,500,2,-8.63863747454634
0.036,0.3,500,2,-8.63863747454634
0.042,0.4,500,2,-8.63863747454634
0.058,0.01,500,2,-10.3665468358987
0.054,0.05,500,2,-10.3665468358987
0.05,0.1,500,2,-10.3665468358987
0.046,0.2,500,2,-10.3665468358987
0.034,0.3,500,2,-10.3665468358987
0.034,0.4,500,2,-10.3665468358987
0.05,0.01,500,2,-8.93353739537825
0.036,0.05,500,2,-8.93353739537825
0.05,0.1,500,2,-8.93353739537825
0.046,0.2,500,2,-8.93353739537825
0.046,0.3,500,2,-8.93353739537825
0.036,0.4,500,2,-8.93353739537825
0.046,0.01,500,2,-10.2317230516015
0.052,0.05,500,2,-10.2317230516015
0.046,0.1,500,2,-10.2317230516015
0.054,0.2,500,2,-10.2317230516015
0.042,0.3,500,2,-10.2317230516015
0.04,0.4,500,2,-10.2317230516015
0.078,0.01,500,2,-8.80006343749185
0.058,0.05,500,2,-8.80006343749185
0.054,0.1,500,2,-8.80006343749185
0.048,0.2,500,2,-8.80006343749185
0.04,0.3,500,2,-8.80006343749185
0.034,0.4,500,2,-8.80006343749185
0.06,0.01,500,2,-11.6817946633384
0.052,0.05,500,2,-11.6817946633384
0.034,0.1,500,2,-11.6817946633384
0.038,0.2,500,2,-11.6817946633384
0.046,0.3,500,2,-11.6817946633384
0.022,0.4,500,2,-11.6817946633384
0.054,0.01,500,2,-10.0087019505297
0.048,0.05,500,2,-10.0087019505297
0.026,0.1,500,2,-10.0087019505297
0.038,0.2,500,2,-10.0087019505297
0.034,0.3,500,2,-10.0087019505297
0.032,0.4,500,2,-10.0087019505297
0.076,0.01,500,2,-11.5512737029841
0.05,0.05,500,2,-11.5512737029841
0.052,0.1,500,2,-11.5512737029841
0.026,0.2,500,2,-11.5512737029841
0.042,0.3,500,2,-11.5512737029841
0.028,0.4,500,2,-11.5512737029841
0.074,0.01,500,2,-9.88027211783109
0.044,0.05,500,2,-9.88027211783109
0.046,0.1,500,2,-9.88027211783109
0.05,0.2,500,2,-9.88027211783109
0.042,0.3,500,2,-9.88027211783109
0.044,0.4,500,2,-9.88027211783109
0.04,0.01,500,2,-13.2127508230912
0.054,0.05,500,2,-13.2127508230912
0.046,0.1,500,2,-13.2127508230912
0.044,0.2,500,2,-13.2127508230912
0.038,0.3,500,2,-13.2127508230912
0.034,0.4,500,2,-13.2127508230912
0.056,0.01,500,2,-11.2476626293511
0.05,0.05,500,2,-11.2476626293511
0.048,0.1,500,2,-11.2476626293511
0.05,0.2,500,2,-11.2476626293511
0.03,0.3,500,2,-11.2476626293511
0.022,0.4,500,2,-11.2476626293511
0.076,0.01,500,2,-13.0844400462228
0.044,0.05,500,2,-13.0844400462228
0.05,0.1,500,2,-13.0844400462228
0.028,0.2,500,2,-13.0844400462228
0.034,0.3,500,2,-13.0844400462228
0.04,0.4,500,2,-13.0844400462228
0.06,0.01,500,2,-11.1219067611158
0.04,0.05,500,2,-11.1219067611158
0.068,0.1,500,2,-11.1219067611158
0.036,0.2,500,2,-11.1219067611158
0.042,0.3,500,2,-11.1219067611158
0.028,0.4,500,2,-11.1219067611158
0.042,0.01,500,10,-7.52034284870614
0.026,0.05,500,10,-7.52034284870614
0.052,0.1,500,10,-7.52034284870614
0.032,0.2,500,10,-7.52034284870614
0.026,0.3,500,10,-7.52034284870614
0.046,0.4,500,10,-7.52034284870614
0.03,0.01,500,10,-6.61941216140538
0.028,0.05,500,10,-6.61941216140538
0.038,0.1,500,10,-6.61941216140538
0.034,0.2,500,10,-6.61941216140538
0.04,0.3,500,10,-6.61941216140538
0.044,0.4,500,10,-6.61941216140538
0.046,0.01,500,10,-7.37900605698019
0.038,0.05,500,10,-7.37900605698019
0.04,0.1,500,10,-7.37900605698019
0.048,0.2,500,10,-7.37900605698019
0.036,0.3,500,10,-7.37900605698019
0.02,0.4,500,10,-7.37900605698019
0.048,0.01,500,10,-6.47822011386786
0.036,0.05,500,10,-6.47822011386786
0.036,0.1,500,10,-6.47822011386786
0.048,0.2,500,10,-6.47822011386786
0.046,0.3,500,10,-6.47822011386786
