nom.size,an,N,T,omega
0.048,0.001,500,10,-0.231978615
0.05,0.005,500,10,-0.231978615
0.03,1.00E-05,500,10,0.477151753
0.03,5.00E-05,500,10,0.477151753
0.03,1.00E-04,500,10,0.477151753
0.03,5.00E-04,500,10,0.477151753
0.03,0.001,500,10,0.477151753
0.03,0.005,500,10,0.477151753
0.042,1.00E-05,500,10,0.254410038
0.042,5.00E-05,500,10,0.254410038
0.042,1.00E-04,500,10,0.254410038
0.042,5.00E-04,500,10,0.254410038
0.042,0.001,500,10,0.254410038
0.042,0.005,500,10,0.254410038
0.028,1.00E-05,500,10,0.367062425
0.028,5.00E-05,500,10,0.367062425
0.028,1.00E-04,500,10,0.367062425
0.028,5.00E-04,500,10,0.367062425
0.028,0.001,500,10,0.367062425
0.028,0.005,500,10,0.367062425
0.048,1.00E-05,500,10,1.672419869
0.05,5.00E-05,500,10,1.672419869
0.05,1.00E-04,500,10,1.672419869
0.05,5.00E-04,500,10,1.672419869
0.05,0.001,500,10,1.672419869
0.05,0.005,500,10,1.672419869
0.046,1.00E-05,500,10,0.61429924
0.046,5.00E-05,500,10,0.61429924
0.046,1.00E-04,500,10,0.61429924
0.046,5.00E-04,500,10,0.61429924
0.046,0.001,500,10,0.61429924
0.046,0.005,500,10,0.61429924
0.044,1.00E-05,500,10,36.73680057
0.044,5.00E-05,500,10,36.73680057
0.044,1.00E-04,500,10,36.73680057
0.044,5.00E-04,500,10,36.73680057
0.042,0.001,500,10,36.73680057
0.044,0.005,500,10,36.73680057
0.042,1.00E-05,500,10,-0.307558483
0.042,5.00E-05,500,10,-0.307558483
0.042,1.00E-04,500,10,-0.307558483
0.042,5.00E-04,500,10,-0.307558483
0.042,0.001,500,10,-0.307558483
0.042,0.005,500,10,-0.307558483
0.03,1.00E-05,500,10,-0.279235679
0.03,5.00E-05,500,10,-0.279235679
0.03,1.00E-04,500,10,-0.279235679
0.03,5.00E-04,500,10,-0.279235679
0.03,0.001,500,10,-0.279235679
0.03,0.005,500,10,-0.279235679
0.026,1.00E-05,500,10,-0.364435441
0.026,5.00E-05,500,10,-0.364435441
0.026,1.00E-04,500,10,-0.364435441
0.026,5.00E-04,500,10,-0.364435441
0.026,0.001,500,10,-0.364435441
0.026,0.005,500,10,-0.364435441
0.046,1.00E-05,500,10,0.299406169
0.046,5.00E-05,500,10,0.299406169
0.046,1.00E-04,500,10,0.299406169
0.046,5.00E-04,500,10,0.299406169
0.046,0.001,500,10,0.299406169
0.046,0.005,500,10,0.299406169
0.054,1.00E-05,500,10,-0.001040847
0.054,5.00E-05,500,10,-0.001040847
0.054,1.00E-04,500,10,-0.001040847
0.054,5.00E-04,500,10,-0.001040847
0.054,0.001,500,10,-0.001040847
0.054,0.005,500,10,-0.001040847
0.046,1.00E-05,500,10,0.50365193
0.046,5.00E-05,500,10,0.50365193
0.046,1.00E-04,500,10,0.50365193
0.044,5.00E-04,500,10,0.50365193
0.046,0.001,500,10,0.50365193
0.046,0.005,500,10,0.50365193
0.076,0.05,100,2,-0.766159318
0.036,0.1,100,2,-0.766159318
0.032,0.15,100,2,-0.766159318
0.026,0.2,100,2,-0.766159318
