"padron"	"year"	"ciiu"	"rY"	"d_e"	"d_m"	"rexport"	"rMi"	"L"	"rM"	"markup"
58032	96	3220	177873.6	0	0	0	0	38	112319.4	.1263561
58554	90	3213	297283	0	0	0	0	45	255316	.0302675
58554	91	3213	323543.5	0	0	0	0	43	279608.7	.0331154
58554	92	3220	331478.3	0	0	0	0	49	232089.5	.1999438
58554	93	3220	360883.6	0	0	0	0	48	275543.5	.1316021
58554	94	3220	321567.4	1	0	5644.066	0	55	135397.4	.4503838
58554	95	3220	346600.6	1	0	5097.917	0	51	254958	.1274919
58554	96	3213	378819.7	1	0	10450	0	42	338344.6	-.0365625
58581	90	3220	478079	0	1	0	195849	67	182093	.4524943
58581	91	3220	565174.6	0	1	0	165691.9	69	374321.9	.1792198
58581	92	3220	599620.1	1	0	1383.542	0	68	240230.3	.4501188
58581	93	3220	849282.3	1	0	5026.767	0	91	361131.5	.4260603
58581	94	3220	732750.4	1	0	6382.255	0	74	286715.4	.3933242
58581	95	3220	799684.5	1	0	2773.308	0	73	147515.1	.6574875
58581	96	3220	933841.5	1	0	2921.818	0	63	201590.1	.644616
58752	90	3213	26590	0	0	0	0	10	14240	.3826627
58752	91	0	0	-1	-1	0	0	0	0	0
58752	92	3220	27846.23	0	0	0	0	10	17292.97	.2879955
58752	93	3220	29388.84	0	0	0	0	10	18949.09	.2645722
58752	94	0	0	-1	-1	0	0	0	0	0
58752	95	0	0	-1	-1	0	0	0	0	0
58752	96	0	0	-1	-1	0	0	0	0	0
58905	90	3220	254034	0	0	0	0	61	135946	.2899494
58905	91	3220	297568.2	0	0	0	0	57	120446	.4296305
58905	92	3220	276164	0	0	0	0	60	144855.9	.3051716
58905	93	3220	358061.7	0	0	0	0	61	144710	.424642
58905	94	3220	398174.5	0	0	0	0	63	142550	.4533872
58905	95	3220	557907.7	0	0	0	0	65	203864.8	.4627739
58905	96	3220	562515.4	0	0	0	0	63	316072.1	.2508368
59094	90	0	0	-1	-1	0	0	0	0	0
59094	91	3220	91855.9	0	0	0	0	18	73509.88	.0744782
59094	92	3220	88762.5	0	0	0	0	20	61731.27	.1753282
59094	93	3220	83438.88	0	0	0	0	21	47629.98	.2554314
59094	94	3220	76624.51	0	0	0	0	19	46884.33	.1403452
59094	95	3220	76643.41	0	0	0	0	19	46275.88	.142898
59094	96	3220	119888.3	0	0	0	0	16	75702.92	.1939053
59409	90	3220	272146	0	0	0	0	59	236922	-.0499328
59409	91	0	0	-1	-1	0	0	0	0	0
59409	92	0	0	-1	-1	0	0	0	0	0
59409	93	0	0	-1	-1	0	0	0	0	0
59409	94	0	0	-1	-1	0	0	0	0	0
59409	95	0	0	-1	-1	0	0	0	0	0
59409	96	0	0	-1	-1	0	0	0	0	0
59445	90	3220	513006	1	1	495	33078	78	378046	.1435129
59445	91	3220	639873.2	1	1	27512.4	36884.07	68	380945.5	.3213067
59445	92	3220	645769.9	1	1	6454.139	5549.816	86	562945.8	-.0063951
59445	93	3220	619740.8	0	1	0	44513.68	85	420246.9	.1504218
59445	94	3220	630709.9	1	1	9684.044	79749.1	91	417512.5	.1572854
59445	95	3220	674434.8	0	1	0	67389.55	83	373323.8	.2571584
59445	96	3220	593518.8	0	0	0	0	81	362995.6	.20468
59454	90	3220	351740	0	1	0	10282	99	206757	.2353812
59454	91	3220	401037.2	0	1	0	12685.93	90	195688.4	.3631973
59454	92	3220	581021.1	0	0	0	0	78	311822.5	.3664113
59454	93	3220	382777.5	0	0	0	0	66	207775.2	.3214751
59454	94	3220	251543.1	0	0	0	0	69	72131.18	.4473094
59454	95	3220	179357.4	0	0	0	0	63	68723.95	.1207376
59454	96	3220	240188.5	0	0	0	0	60	51194.07	.366406
59499	90	3220	243596	0	0	0	0	74	147352	.1854587
59499	91	3220	282167.3	0	0	0	0	67	197798.3	.0876942
59499	92	3220	382582	0	0	0	0	65	236463.8	.233035
59499	93	3220	474669.8	0	0	0	0	74	331765.9	.1427833
59499	94	3220	730388.8	0	0	0	0	79	567078.6	.088829
59499	95	3220	659152.8	0	0	0	0	80	441433.8	.1468936
59499	96	3220	937058.4	0	0	0	0	99	489090.3	.2894208
59508	90	3220	22212	0	0	0	0	11	10187	.2996128
59508	91	3220	34002.7	0	0	0	0	11	20028.81	.2273911
59508	92	3220	40458.5	0	0	0	0	14	32763.61	.0677808
59508	93	0	0	-1	-1	0	0	0	0	0
59508	94	0	0	-1	-1	0	0	0	0	0
59508	95	0	0	-1	-1	0	0	0	0	0
59508	96	0	0	-1	-1	0	0	0	0	0
59517	90	3213	40755	0	0	0	0	14	39209	-.0844804
59517	91	3213	74170.41	0	0	0	0	18	58791.02	.0626409
59517	92	3220	93715.73	0	0	0	0	27	75192.45	.0493613
59517	93	3220	99334.15	0	0	0	0	25	77689.53	.090221
59517	94	3220	98657.16	0	0	0	0	25	79486.99	.0398788
59517	95	3220	115348.4	0	0	0	0	21	94445.19	.0107258
59517	96	3220	122229.9	0	0	0	0	20	94276.68	.0511534
59949	90	3220	436567	1	0	11201	0	87	252796	.1885232
59949	91	3220	515998.7	1	0	22664.33	0	87	240868.8	.3025556
59949	92	3220	506277.9	1	1	35826.7	18514.82	101	217759.2	.2971406
59949	93	3220	579670.3	1	1	48625.09	23808.34	108	250778.6	.2979617
59949	94	3220	640027.5	1	1	43086.41	18054.19	105	354735.7	.1605524
59949	95	3220	699211.9	1	1	35580.19	7040.329	97	174029.3	.4611733
59949	96	3220	808161.8	1	1	111251.2	26255.64	90	328275.8	.326042
60147	90	3220	166951	0	0	0	0	34	119681	.1461986
60147	91	3220	173354.3	0	0	0	0	32	111946	.2001853
60147	92	3220	100932.1	0	0	0	0	32	51490.32	.2460337
60147	93	3220	32044.47	0	0	0	0	26	8172.318	.0403892
60147	94	0	0	-1	-1	0	0	0	0	0
60147	95	0	0	-1	-1	0	0	0	0	0
60147	96	0	0	-1	-1	0	0	0	0	0
60543	90	3220	39198	0	0	0	0	26	8334	.3882851
60543	91	3220	47532.93	0	0	0	0	25	23351.36	.0983544
60543	92	3220	35558.07	0	0	0	0	23	9874.525	.2331995
60543	93	3220	38848.76	0	0	0	0	20	10219.72	.3086137
60543	94	3220	41702.97	0	0	0	0	21	10854.85	.2483445
60543	95	0	0	-1	-1	0	0	0	0	0
60543	96	0	0	-1	-1	0	0	0	0	0
60561	90	3220	186599	0	0	0	0	25	143418	.1924287
60561	91	3220	289579.7	0	0	0	0	35	182361.8	.3237557
60561	92	3220	288212.3	0	1	0	1830.813	32	191671.4	.2740723
60561	93	3220	369327.1	0	1	0	2767.314	28	265537.8	.2224386
60561	94	3220	405088.3	0	0	0	0	41	274686.4	.2389082
60561	95	3220	441321.3	0	0	0	0	38	220868.5	.4371433
60561	96	3220	425933.1	0	0	0	0	37	266821.5	.2835615
60714	90	3220	768883	0	0	0	0	199	645299	-.040114
60714	91	3220	1064877	1	0	36322.03	0	188	752900.2	.1323238
60714	92	3220	1015839	1	1	63099.16	17311.88	209	691975.8	.1225009
