,Country,Industry,Model,Stat,M=1,M=2,M=3,M=4,M=5,M=6,M=7,M=8,M=9,M=10,T
2,Chile,Food products,Plain ciiu,LR,1627.2441,468.3030,230.0412,136.4866,41.3948,53.6368,34.9884,15.1591,9.6052,13.9674,3
3,Chile,Food products,Plain ciiu,LR Crit,"6.0, 7.4, 11.6","6.1, 8.2, 12.2","6.4, 8.2, 9.6","4.9, 6.6, 8.5","5.7, 6.7, 10.0","6.3, 7.6, 9.9","7.3, 8.8, 11.8","6.7, 7.9, 10.2","5.8, 6.7, 9.5","4.8, 6.1, 8.2",3
2,Chile,Food products,Plain mixture,LR,1191.0404,580.4967,279.7592,208.8829,77.6894,88.4077,50.4342,48.9726,26.0191,-,3
3,Chile,Food products,Plain mixture,LR Crit,"7.3, 10.2, 14.8","8.7, 11.1, 17.9","9.0, 12.1, 16.2","10.3, 12.5, 16.0","10.1, 12.5, 208.0","9.3, 11.6, 18.6","8.5, 10.4, 12.9","9.7, 12.3, 21.8","60.5, 69.8, 79.7",-,3
2,Chile,Food products,Plain mixture 3,LR,1167.8106,604.4984,256.3292,211.8909,90.8947,-,-,-,-,-,3
3,Chile,Food products,Plain mixture 3,LR Crit,"7.9, 9.7, 13.5","11.0, 13.6, 17.0","11.0, 12.6, 14.0","10.4, 12.5, 18.9","14.3, 217.6, 254.2",-,-,-,-,-,3
2,Chile,Food products,Plain mixture 3 ciiu,LR,1134.4917,443.7635,210.1550,156.1270,28.9543,-,-,-,-,-,3
3,Chile,Food products,Plain mixture 3 ciiu,LR Crit,"7.9, 11.9, 15.7","7.0, 8.8, 12.6","7.6, 10.4, 16.7","8.4, 10.3, 13.9","11.0, 166.8, 231.8",-,-,-,-,-,3
2,Chile,Food products,Plain mixture 4,LR,1178.2411,598.2276,264.9669,204.2619,58.7535,-,-,-,-,-,3
3,Chile,Food products,Plain mixture 4,LR Crit,"10.9, 12.6, 16.9","12.1, 15.4, 20.8","12.0, 14.5, 18.5","12.0, 13.9, 16.9","209.9, 236.3, 277.9",-,-,-,-,-,3
2,Chile,Food products,Plain mixture 4 ciiu,LR,1138.6857,431.3369,190.5935,180.9799,30.7172,-,-,-,-,-,3
3,Chile,Food products,Plain mixture 4 ciiu,LR Crit,"9.4, 10.2, 14.4","7.6, 9.4, 13.0","8.3, 9.5, 14.6","10.1, 14.7, 22.0","175.1, 199.0, 219.9",-,-,-,-,-,3
2,Chile,Food products,Plain mixture ciiu,LR,1155.8787,408.1054,278.9554,152.0485,31.8931,70.0843,47.4195,9.9829,-,-,3
3,Chile,Food products,Plain mixture ciiu,LR Crit,"7.7, 9.6, 11.7","15.5, 20.7, 38.0","7.0, 9.2, 13.3","4.7, 8.2, 16.3","7.9, 9.8, 12.3","8.7, 10.0, 13.8","9.5, 11.0, 14.2","58.5, 69.2, 83.9",-,-,3
10,Chile,Textiles,Ar1 k,LR,167.0679,6.9949,-,-,-,-,-,-,-,-,5
11,Chile,Textiles,Ar1 k,LR Crit,"27.9, 30.5, 34.7","24.6, 26.5, 28.7",-,-,-,-,-,-,-,-,5
10,Chile,Textiles,Ar1 k mixture,LR,188.3365,56.9001,-,-,-,-,-,-,-,-,3
10,Chile,Textiles,Ar1 k mixture,LR,166.7515,-37.3694,-,-,-,-,-,-,-,-,5
11,Chile,Textiles,Ar1 k mixture,LR Crit,"150.0, 173.8, 196.5","140.4, 153.7, 164.5",-,-,-,-,-,-,-,-,3
11,Chile,Textiles,Ar1 k mixture,LR Crit,"579.4, 588.4, 624.2",-,-,-,-,-,-,-,-,-,5
10,Chile,Textiles,Ar1 plain,LR,333.3141,68.9073,19.7665,-,-,-,-,-,-,-,3
10,Chile,Textiles,Ar1 plain,LR,177.6935,19.2115,3.5042,-,-,-,-,-,-,-,5
11,Chile,Textiles,Ar1 plain,LR Crit,"18.5, 20.7, 26.6","18.3, 20.1, 21.9","19.3, 22.1, 26.2",-,-,-,-,-,-,-,3
11,Chile,Textiles,Ar1 plain,LR Crit,"15.7, 17.5, 23.8","14.5, 15.9, 24.8","32.5, 44.1, 55.5",-,-,-,-,-,-,-,5
10,Chile,Textiles,Ar1 plain mixture,LR,247.5924,66.1106,-,-,-,-,-,-,-,-,3
10,Chile,Textiles,Ar1 plain mixture,LR,177.2269,-37.1111,-,-,-,-,-,-,-,-,5
11,Chile,Textiles,Ar1 plain mixture,LR Crit,"30.8, 186.1, 264.7","151.8, 162.1, 178.8",-,-,-,-,-,-,-,-,3
11,Chile,Textiles,Ar1 plain mixture,LR Crit,"402.6, 422.9, 480.8",-,-,-,-,-,-,-,-,-,5
10,Chile,Textiles,K,LR,309.7150,172.7932,73.6663,43.5699,34.3367,18.6043,6.4648,-,-,-,3
10,Chile,Textiles,K,LR,599.3419,439.9507,269.9865,202.9657,63.3076,99.7794,18.5115,-,-,-,5
11,Chile,Textiles,K,LR Crit,"10.9, 13.2, 18.0","11.4, 12.8, 17.0","11.9, 13.7, 18.1","11.8, 12.8, 14.8","12.2, 13.1, 15.0","11.5, 13.3, 17.4","11.1, 12.9, 17.4",-,-,-,3
11,Chile,Textiles,K,LR Crit,"10.3, 11.2, 14.0","10.4, 13.1, 17.4","12.3, 14.1, 16.8","12.1, 14.4, 19.1","11.9, 14.2, 17.9","11.5, 13.1, 16.5","11.0, 12.8, 15.3","10.7, 11.6, 14.2","9.8, 12.1, 14.8","100.4, 110.7, 148.3",5
10,Chile,Textiles,K ciiu,LR,305.3470,146.5267,89.0717,55.5251,35.4116,18.4734,7.2430,-,-,-,3
11,Chile,Textiles,K ciiu,LR Crit,"12.0, 14.9, 23.1","13.7, 15.7, 23.4","12.9, 15.2, 27.0","13.2, 14.6, 21.2","12.8, 14.1, 17.8","11.2, 13.8, 19.4","12.0, 13.9, 23.3",-,-,-,3
10,Chile,Textiles,K mixture,LR,220.4093,163.8376,75.0010,44.4956,33.8029,9.7471,-,-,-,-,3
10,Chile,Textiles,K mixture,LR,709.9683,368.6392,225.0537,204.6058,82.6826,43.5983,-,-,-,-,5
11,Chile,Textiles,K mixture,LR Crit,"12.2, 15.0, 18.1","13.8, 16.6, 20.7","15.6, 17.1, 20.0","14.9, 18.1, 21.6","15.6, 18.2, 22.5","14.0, 16.8, 20.9",-,-,-,-,3
11,Chile,Textiles,K mixture,LR Crit,"11.8, 14.8, 17.7","12.6, 14.6, 19.2","12.9, 14.5, 18.7","14.0, 15.1, 20.8","10.9, 13.0, 16.3","12.3, 23.8, 110.8","141.6, 166.2, 199.6",-,-,-,5
10,Chile,Textiles,K mixture 3,LR,216.8115,170.4569,77.0233,49.4011,42.3716,6.6521,-,-,-,-,3
